"sample","median_delGcox","median_delGd","median_lambda"
"ECA2_0005_02_p1.corems",-143.634250723466,-2842.7112390088,0.0437113057085571
"ECA2_0005_03_p1.corems",-144.485881926858,-2934.71508236402,0.0411425287800979
"ECA2_0005_04_p1.corems",-145.489214957007,-2128.15366144468,0.0576251387296104
"ECA2_0005_05_p1.corems",-143.620939659488,-2878.99198585058,0.0436883556247607
"ECA2_0005_06_p1.corems",-144.291887662522,-2980.53045578491,0.0406417508236742
"ECA2_0005_07_p1.corems",-144.449148669687,-2918.9458292058,0.0416627241479679
"ECA2_0005_08_p1.corems",-144.923427897647,-2856.08429914013,0.0416627241479679
"ECA2_0005_09_p1.corems",-144.559813822878,-2947.71504598191,0.0417238934568584
"ECA2_0005_10_p1.corems",-144.050754118201,-2881.01508236402,0.0425016390829782
"ECA2_0006_01_p1.corems",-141.382677614917,-2785.33814249536,0.0460303872167035
"ECA2_0006_02_p1.corems",-141.650901224726,-2791.40743203568,0.0456953946332615
"ECA2_0006_03_p1.corems",-141.466908943873,-2678.68433552224,0.0490022047597235
"ECA2_0006_04_p1.corems",-140.674884497714,-2762.43045578491,0.0473368216121162
"ECA2_0006_05_p1.corems",-139.469216776112,-2718.63817887746,0.0482909342864897
"ECA2_0006_06_p1.corems",-140.674884497714,-2745.59205861479,0.0478201766568407
"ECA2_0006_07_p1.corems",-140.900947195515,-2766.4766488118,0.0466283658613803
"ECA2_0006_09_p1.corems",-139.469216776112,-2764.45355229835,0.0473684491917231
"ECA2_0006_10_p1.corems",-140.51047526295,-2772.33817887746,0.0464811281405896
"ECA2_0007_01_p1.corems",-145.196138453723,-2881.01508236402,0.04096875212467
"ECA2_0007_02_p1.corems",-144.378006785493,-2901.89967256102,0.0420785721061038
"ECA2_0007_03_p1.corems",-144.559813822878,-2941.85351591625,0.0409674778934608
"ECA2_0007_04_p1.corems",-143.634250723466,-2926.83045578491,0.0420785721061038
"ECA2_0007_05_p1.corems",-144.130753663425,-2689.76508236403,0.0459131416497877
"ECA2_0007_06_p1.corems",-144.675509210304,-2672.82280545657,0.0454705145541385
"ECA2_0007_07_p1.corems",-145.380877862678,-2995.55351591625,0.0397095807118308
"ECA2_0007_08_p1.corems",-144.378006785493,-2951.7612390088,0.0408749053440112
"ECA2_0007_09_p1.corems",-144.559813822878,-2858.10739565358,0.0423834356115839
