richness,sample
6691,PAPI_ESI_neg_Papi4_Ex7_20ppm_0119_20130715_000001.corems
6297,PAPI_ESI_neg_Papi4_Ex8_20ppm_0212_20130716_000001.corems
6964,PAPI_ESI_neg_Papi4_Ex9_20ppm_0107_20130715_000001.corems
5696,PAPI_ESI_neg_PAPI5_Ex1_20ppm_0101_20131113_000001.corems
8095,PAPI_ESI_neg_PAPI5_Ex10_20ppm_0107_20131113_000001.corems
6928,PAPI_ESI_neg_PAPI5_Ex11_20ppm_0115_20131113_000001.corems
7193,PAPI_ESI_neg_PAPI5_Ex12_20ppm_0111_20131113_000001.corems
7442,PAPI_ESI_neg_PAPI5_Ex13_20ppm_0113_20131113_000001.corems
7876,PAPI_ESI_neg_PAPI5_Ex14_20ppm_0104_20131113_000001.corems
8596,PAPI_ESI_neg_PAPI5_Ex15_20ppm_0205_20131114_000001.corems
8535,PAPI_ESI_neg_PAPI5_Ex16_20ppm_0112_20131113_000001.corems
8564,PAPI_ESI_neg_PAPI5_Ex17_20ppm_0207_20131114_000001.corems
8160,PAPI_ESI_neg_PAPI5_Ex18_20ppm_0201_20131114_000001.corems
8107,PAPI_ESI_neg_PAPI5_Ex19_20ppm_0102_20131113_000001.corems
8199,PAPI_ESI_neg_PAPI5_Ex2_20ppm_0114_20131113_000001.corems
8269,PAPI_ESI_neg_PAPI5_Ex20_20ppm_0203_20131114_000001.corems
8993,PAPI_ESI_neg_PAPI5_Ex21_20ppm_0214_20131114_000001.corems
8475,PAPI_ESI_neg_PAPI5_Ex22_20ppm_0117_20131113_000001.corems
8448,PAPI_ESI_neg_PAPI5_Ex23_20ppm_0106_20131113_000001.corems
8254,PAPI_ESI_neg_PAPI5_Ex24_20ppm_0118_20131113_000001.corems
7373,PAPI_ESI_neg_PAPI5_Ex25_20ppm_0108_20131113_000001.corems
8405,PAPI_ESI_neg_PAPI5_Ex26_20ppm_0110_20131113_000001.corems
8752,PAPI_ESI_neg_PAPI5_Ex27_20ppm_0116_20131113_000001.corems
8077,PAPI_ESI_neg_PAPI5_Ex28_20ppm_0208_20131114_000001.corems
8622,PAPI_ESI_neg_PAPI5_Ex29_20ppm_0206_20131114_000001.corems
8538,PAPI_ESI_neg_PAPI5_Ex3_20ppm_0212_20131114_000001.corems
8757,PAPI_ESI_neg_PAPI5_Ex4_20ppm_0109_20131113_000001.corems
8511,PAPI_ESI_neg_PAPI5_Ex5_20ppm_0209_20131114_000001.corems
8578,PAPI_ESI_neg_PAPI5_Ex6_20ppm_0105_20131113_000001.corems
8590,PAPI_ESI_neg_PAPI5_Ex7_20ppm_0211_20131114_000001.corems
8991,PAPI_ESI_neg_PAPI5_Ex8_20ppm_0213_20131114_000001.corems
8632,PAPI_ESI_neg_PAPI5_Ex9_20ppm_0204_20131114_000001.corems
8547,PAPI_ESI_neg_Papi6_Ex02_0112_15ppm_20140805_000001.corems
6224,PAPI_ESI_neg_Papi6_Ex03_0208_15ppm_20140806_000001.corems
6780,PAPI_ESI_neg_Papi6_Ex04_0106_15ppm_20140805_000001.corems
7291,PAPI_ESI_neg_Papi6_Ex05_0110_15ppm_20140805_000001.corems
6237,PAPI_ESI_neg_Papi6_Ex06_0202_15ppm_20140806_000001.corems
6625,PAPI_ESI_neg_Papi6_Ex07_0206_15ppm_20140806_000001.corems
7056,PAPI_ESI_neg_Papi6_Ex08_0122_12ppm_20140805_000001.corems
6373,PAPI_ESI_neg_Papi6_Ex09_0203_15ppm_20140806_000001.corems
6958,PAPI_ESI_neg_Papi6_Ex10_0207_15ppm_20140806_000001.corems
5564,PAPI_ESI_neg_Papi6_Ex11_0204_15ppm_20140806_000001.corems
7480,PAPI_ESI_neg_Papi6_Ex12_0102_15ppm_20140805_000001.corems
5781,PAPI_ESI_neg_Papi6_Ex13_0120_12ppm_20140805_000001.corems
5985,PAPI_ESI_neg_Papi6_Ex17_0101_15ppm_20140805_000001.corems
6131,PAPI_ESI_neg_Papi6_Ex18_0201_15ppm_20140806_000001.corems
6181,PAPI_ESI_neg_Papi6_Ex19_0108_15ppm_20140805_000001.corems
6604,PAPI_ESI_neg_Papi6_Ex20_0105_15ppm_20140805_000001.corems
6112,PAPI_ESI_neg_Papi6_Ex21_0205_15ppm_20140806_000001.corems
7438,PAPI_ESI_neg_Papi6_Ex22_0118_15ppm_20140805_000001.corems
7395,PAPI_ESI_neg_Papi6_Ex23_0107_15ppm_20140805_000001.corems
7327,PAPI_ESI_neg_Papi6_Ex24_0116_15ppm_20140805_000001.corems
6047,PAPI_ESI_neg_Papi6_Ex25_0114_15ppm_20140805_000001.corems
6446,PAPI_ESI_neg_Papi6_Ex26_0123_12ppm_20140805_000001.corems
