sample,total.transformations,num.of.formulas,normalized.trans
S19S_0050_Sed_Field_ICR.U_p15.corems,44990,1868,24.08458244
S19S_0051_Sed_Field_ICR.D_p15.corems,54,115,0.469565217
S19S_0051_Sed_Field_ICR.M_p15.corems,20040,977,20.51177073
S19S_0051_Sed_Field_ICR.U_p15.corems,14660,816,17.96568627
S19S_0052_Sed_Field_ICR.D_p2.corems,21961,1059,20.7374882
S19S_0052_Sed_Field_ICR.M_p2.corems,25522,1203,21.2152951
S19S_0052_Sed_Field_ICR.U_p2.corems,29937,1389,21.55291577
S19S_0053_Sed_Field_ICR.D_p2.corems,38085,1505,25.30564784
S19S_0053_Sed_Field_ICR.M_p2.corems,33170,1388,23.89769452
S19S_0053_Sed_Field_ICR.U_p2.corems,40258,1612,24.97394541
S19S_0054_Sed_Field_ICR.D_p2.corems,41679,1591,26.19673162
S19S_0054_Sed_Field_ICR.M_p2.corems,40211,1534,26.21316819
S19S_0054_Sed_Field_ICR.U_p2.corems,41257,1538,26.82509753
S19S_0055_Sed_Field_ICR.D_p2.corems,26465,1247,21.22293504
S19S_0055_Sed_Field_ICR.M_p2.corems,26184,1137,23.02902375
S19S_0055_Sed_Field_ICR.U_p2.corems,21338,1007,21.18967229
S19S_0056_Sed_Field_ICR.D_p2.corems,41258,1573,26.22886205
S19S_0056_Sed_Field_ICR.M_p2.corems,41254,1695,24.33864307
S19S_0056_Sed_Field_ICR.U_p2.corems,49314,1996,24.70641283
S19S_0057_Sed_Field_ICR.D_p2.corems,36527,1507,24.23822163
S19S_0057_Sed_Field_ICR.M_p2.corems,30866,1349,22.88065234
S19S_0057_Sed_Field_ICR.U_p2.corems,26299,1253,20.98882682
S19S_0058_Sed_Field_ICR.D_p2.corems,36192,1507,24.01592568
S19S_0058_Sed_Field_ICR.U_p2.corems,45041,1802,24.99500555
S19S_0059_Sed_Field_ICR.D_p15.corems,9045,575,15.73043478
S19S_0059_Sed_Field_ICR.M_p15.corems,24553,1157,21.22126188
S19S_0059_Sed_Field_ICR.U_p15.corems,2105,346,6.083815029
S19S_0060_Sed_Field_ICR.D_p2.corems,23828,1139,20.92010536
