dist.unique,nDistance_Results,n_Sample_Peak_Mat,n_ratio
STL_0019_ICR.1_p08.corems,54623,2075,26.3243373493976
STL_0019_ICR.2_p1.corems,60033,2191,27.3998174349612
STL_0019_ICR.3_p08.corems,65876,2362,27.8899237933954
STL_0020_ICR.1_p08.corems,27174,1094,24.8391224862888
STL_0020_ICR.2_p1.corems,47651,1865,25.5501340482574
STL_0020_ICR.3_p08.corems,53315,1946,27.3972250770812
STL_0021_ICR.1_p08.corems,63935,2398,26.661801501251
STL_0021_ICR.2_p08.corems,51227,1888,27.1329449152542
STL_0021_ICR.3_p08.corems,69207,2476,27.9511308562197
STL_0022_ICR.1_p08.corems,68392,2598,26.3248652809854
STL_0022_ICR.2_p08.corems,61267,2162,28.3381128584644
STL_0022_ICR.3_p08.corems,71932,2609,27.5707167497125
STL_0023_ICR.1_p1.corems,42536,1731,24.5730791450029
STL_0023_ICR.2_p08.corems,65647,2394,27.421470342523
STL_0023_ICR.3_p08.corems,59420,2110,28.1611374407583
STL_0024_ICR.1_p08.corems,59103,2148,27.5153631284916
STL_0024_ICR.2_p08.corems,37612,1370,27.4540145985401
STL_0024_ICR.3_p08.corems,58717,2073,28.324650265316
STL_0025_ICR.1_p08.corems,71493,2571,27.8074679113186
STL_0025_ICR.2_p08.corems,71106,2438,29.1657095980312
STL_0025_ICR.3_p08.corems,74816,2575,29.0547572815534
STL_0026_ICR.1_p08.corems,75144,2754,27.2854030501089
STL_0026_ICR.2_p08.corems,71290,2507,28.4363781412046
STL_0026_ICR.3_p08.corems,72939,2581,28.2599767531964
STL_0027_ICR.1_p08.corems,58090,2208,26.3088768115942
STL_0027_ICR.2_p08.corems,70011,2514,27.8484486873508
STL_0027_ICR.3_p08.corems,54556,2065,26.4193704600484
STL_0028_ICR.1_p08.corems,64283,2304,27.9006076388889
STL_0028_ICR.2_p08.corems,64270,2306,27.8707718993929
STL_0028_ICR.3_p08.corems,32469,1178,27.562818336163
STL_0029_ICR.1_p08.corems,73681,2660,27.6996240601504
STL_0029_ICR.2_p08.corems,68604,2502,27.4196642685851
STL_0029_ICR.3_p08.corems,58091,2040,28.4759803921569
STL_0030_ICR.1_p08.corems,53480,1878,28.4771033013845
STL_0030_ICR.2_p08.corems,63281,2371,26.6895824546605
STL_0030_ICR.3_p08.corems,68454,2599,26.3385917660639
STL_0031_ICR.1_p08.corems,58433,2092,27.9316443594646
STL_0031_ICR.2_p08.corems,64764,2379,27.2232030264817
STL_0031_ICR.3_p08.corems,71602,2553,28.0462201331767
STL_0032_ICR.1_p08.corems,61141,2187,27.9565614997714
STL_0032_ICR.2_p08.corems,61467,2303,26.6899696048632
STL_0032_ICR.3_p08.corems,58850,2115,27.8250591016548
STL_0033_ICR.1_p08.corems,88837,3244,27.3850184956843
STL_0033_ICR.2_p08.corems,87546,3138,27.8986615678776
STL_0033_ICR.3_p08.corems,62648,2176,28.7904411764706
STL_0034_ICR.1_p1.corems,18040,757,23.8309114927345
STL_0034_ICR.2_p08.corems,78541,2791,28.1408097456109
STL_0034_ICR.3_p08.corems,70631,2465,28.6535496957404
STL_0035_ICR.1_p08.corems,57821,2075,27.8655421686747
STL_0035_ICR.2_p08.corems,66223,2351,28.1680136112293
STL_0035_ICR.3_p08.corems,65986,2434,27.1101068200493
STL_0036_ICR.1_p08.corems,32578,1164,27.9879725085911
STL_0036_ICR.2_p08.corems,47904,1763,27.171866137266
STL_0036_ICR.3_p08.corems,42764,1448,29.5331491712707
STL_0037_ICR.1_p1.corems,26033,1100,23.6663636363636
STL_0037_ICR.2_p1.corems,20649,1018,20.2838899803536
STL_0037_ICR.3_p08.corems,26879,1201,22.3805162364696
STL_0038_ICR.1_p08.corems,76719,2710,28.309594095941
STL_0038_ICR.2_p08.corems,75328,2744,27.4518950437318
STL_0038_ICR.3_p08.corems,72754,2597,28.0146322680015
STL_0039_ICR.1_p08.corems,61870,2183,28.3417315620705
STL_0039_ICR.2_p08.corems,66630,2458,27.1074043938161
STL_0039_ICR.3_p1.corems,27946,1044,26.7681992337165
STL_0040_ICR.1_p08.corems,53734,1980,27.1383838383838
STL_0040_ICR.2_p08.corems,38610,1600,24.13125
STL_0040_ICR.3_p08.corems,56648,2116,26.7712665406427
STL_0041_ICR.1_p08.corems,69831,2571,27.1610268378063
STL_0041_ICR.2_p08.corems,36894,1526,24.1769331585845
STL_0041_ICR.3_p08.corems,50462,1928,26.1732365145228
STL_0042_ICR.1_p08.corems,57383,2036,28.184184675835
STL_0042_ICR.2_p08.corems,49087,1729,28.3903990746096
STL_0042_ICR.3_p08.corems,62645,2256,27.7681737588652
STL_0043_ICR.1_p08.corems,52102,1950,26.7189743589744
STL_0043_ICR.2_p08.corems,67035,2453,27.3277619241745
STL_0043_ICR.3_p08.corems,65200,2461,26.4932954083706
STL_0044_ICR.1_p08.corems,69171,2543,27.2005505308691
STL_0044_ICR.2_p08.corems,66077,2472,26.7301779935275
STL_0044_ICR.3_p08.corems,57310,2015,28.4416873449132
STL_0045_ICR.1_p1.corems,34451,1298,26.5416024653313
STL_0045_ICR.2_p08.corems,60395,2168,27.8574723247232
STL_0045_ICR.3_p08.corems,60618,2123,28.5529910504004
STL_0046_ICR.1_p08.corems,68100,2538,26.8321513002364
STL_0046_ICR.2_p08.corems,71349,2624,27.1909298780488
STL_0046_ICR.3_p08.corems,64342,2428,26.5
STL_0047_ICR.1_p08.corems,29323,1345,21.8014869888476
STL_0047_ICR.2_p1.corems,25235,1222,20.6505728314239
STL_0047_ICR.3_p08.corems,30417,1402,21.6954350927247
STL_0048_ICR.1_p1.corems,50377,1864,27.0262875536481
STL_0048_ICR.2_p08.corems,65854,2314,28.4589455488332
STL_0048_ICR.3_p08.corems,61803,2340,26.4115384615385
STL_0049_ICR.1_p08.corems,53695,1956,27.4514314928425
STL_0049_ICR.2_p08.corems,54055,2048,26.39404296875
STL_0049_ICR.3_p08.corems,67370,2498,26.9695756605284
STL_0051_ICR.1_p08.corems,62331,2275,27.3982417582418
STL_0051_ICR.2_p08.corems,61037,2175,28.0629885057471
STL_0051_ICR.3_p08.corems,68176,2485,27.4350100603622
STL_0052_ICR.1_p08.corems,72321,2644,27.3528744326778
STL_0052_ICR.2_p08.corems,65586,2339,28.0401881145789
STL_0052_ICR.3_p08.corems,67885,2542,26.7053501180173
STL_0053_ICR.1_p08.corems,74492,2741,27.1769427216344
STL_0053_ICR.2_p08.corems,68407,2501,27.3518592562975
STL_0053_ICR.3_p08.corems,78045,2823,27.6461211477152
STL_0054_ICR.1_p08.corems,73225,2683,27.2922102124488
STL_0054_ICR.2_p08.corems,59730,2088,28.6063218390805
STL_0054_ICR.3_p08.corems,64697,2314,27.9589455488332
STL_0055_ICR.1_p08.corems,41850,1662,25.1805054151625
STL_0055_ICR.2_p08.corems,39037,1588,24.5824937027708
STL_0055_ICR.3_p08.corems,39790,1611,24.6989447548107
STL_0056_ICR.1_p1.corems,49981,1741,28.7082136703044
STL_0056_ICR.2_p08.corems,69163,2482,27.8658340048348
STL_0056_ICR.3_p08.corems,64386,2350,27.3982978723404
STL_0057_ICR.1_p08.corems,58096,2017,28.8031730292514
STL_0057_ICR.2_p08.corems,52146,1848,28.2175324675325
STL_0057_ICR.3_p08.corems,74047,2713,27.2934021378548
STL_0058_ICR.1_p08.corems,77922,2902,26.8511371467953
STL_0058_ICR.2_p08.corems,75082,2817,26.6531771388001
STL_0058_ICR.3_p08.corems,83889,3045,27.5497536945813
STL_0059_ICR.1_p08.corems,61588,2146,28.6989748369059
STL_0059_ICR.2_p08.corems,68596,2550,26.9003921568627
STL_0059_ICR.3_p08.corems,73133,2537,28.8265668111943
STL_0060_ICR.1_p08.corems,60409,2130,28.3610328638498
STL_0060_ICR.2_p08.corems,59950,2155,27.8190255220418
STL_0060_ICR.3_p1.corems,34213,1230,27.8154471544715
STL_0061_ICR.1_p08.corems,68411,2549,26.8383679874461
STL_0061_ICR.2_p08.corems,68195,2447,27.8688189619943
STL_0061_ICR.3_p08.corems,74447,2712,27.4509587020649
STL_0062_ICR.1_p08.corems,72501,2672,27.1336077844311
STL_0062_ICR.2_p08.corems,73493,2698,27.2398072646405
STL_0062_ICR.3_p08.corems,62920,2263,27.8038002651348
STL_0063_ICR.1_p08.corems,65162,2382,27.3560033585223
STL_0063_ICR.2_p08.corems,54926,1971,27.8670725520041
STL_0063_ICR.3_p08.corems,54956,2004,27.4231536926148
STL_0064_ICR.1_p08.corems,53156,1866,28.486602357985
STL_0064_ICR.2_p08.corems,61584,2287,26.927853082641
STL_0064_ICR.3_p08.corems,66781,2346,28.4658994032396
STL_0065_ICR.1_p08.corems,65443,2303,28.4164133738602
STL_0065_ICR.2_p08.corems,78385,2814,27.8553660270078
STL_0065_ICR.3_p08.corems,67513,2396,28.1773789649416
STL_0066_ICR.1_p08.corems,76600,2849,26.8866268866269
STL_0066_ICR.3_p08.corems,80607,2978,27.0674949630625
STL_0067_ICR.1_p08.corems,53493,2033,26.3123462862764
STL_0067_ICR.2_p08.corems,63954,2228,28.7046678635548
STL_0067_ICR.3_p08.corems,56408,2041,27.6374326310632
STL_0068_ICR.1_p08.corems,60796,2224,27.3363309352518
STL_0068_ICR.2_p08.corems,54076,1906,28.3714585519412
STL_0068_ICR.3_p08.corems,67026,2458,27.2685109845403
STL_0069_ICR.1_p08.corems,56312,1936,29.0867768595041
STL_0069_ICR.2_p08.corems,76387,2774,27.5367700072098
STL_0069_ICR.3_p08.corems,73975,2634,28.084662110858
STL_0070_ICR.1_p08.corems,61953,2203,28.1221062187926
STL_0070_ICR.2_p08.corems,49951,1756,28.4458997722096
STL_0070_ICR.3_p08.corems,65320,2422,26.9694467382329
STL_0071_ICR.1_p08.corems,51818,1822,28.4401756311745
STL_0071_ICR.2_p1.corems,42331,1592,26.589824120603
STL_0071_ICR.3_p08.corems,70911,2629,26.9726131608977
STL_0072_ICR.1_p08.corems,72421,2617,27.6732900267482
STL_0072_ICR.2_p08.corems,59478,2110,28.1886255924171
STL_0072_ICR.3_p08.corems,62017,2325,26.6739784946237
STL_0073_ICR.1_p08.corems,68126,2530,26.9272727272727
STL_0073_ICR.2_p08.corems,60313,2237,26.9615556548949
STL_0073_ICR.3_p08.corems,56999,1997,28.5423134702053
STL_0075_ICR.1_p08.corems,49649,1719,28.8824898196626
STL_0075_ICR.2_p08.corems,51214,1779,28.7880831928049
STL_0075_ICR.3_p08.corems,67041,2400,27.93375
STL_0076_ICR.1_p08.corems,67407,2553,26.4030552291422
STL_0076_ICR.2_p08.corems,64929,2382,27.2581863979849
STL_0076_ICR.3_p08.corems,69937,2705,25.8547134935305
STL_0077_ICR.1_p08.corems,49241,1763,27.9302325581395
STL_0077_ICR.2_p08.corems,72535,2643,27.4441922058267
STL_0077_ICR.3_p08.corems,57133,2088,27.3625478927203
STL_0078_ICR.1_p1.corems,58547,2108,27.7737191650854
STL_0078_ICR.2_p08.corems,62255,2199,28.3105957253297
STL_0078_ICR.3_p08.corems,58615,2117,27.687765706188
STL_0079_ICR.1_p08.corems,59709,2178,27.4146005509642
STL_0079_ICR.2_p08.corems,60689,2207,27.4984141368373
STL_0079_ICR.3_p08.corems,47523,1805,26.3285318559557
STL_0080_ICR.1_p08.corems,61857,2159,28.650764242705
STL_0080_ICR.2_p08.corems,76002,2877,26.4171011470282
STL_0080_ICR.3_p08.corems,77272,2891,26.7284676582497
STL_0081_ICR.1_p08.corems,57874,2335,24.7854389721627
STL_0081_ICR.2_p08.corems,74377,2828,26.3002121640735
STL_0081_ICR.3_p08.corems,65088,2281,28.5348531345901
STL_0082_ICR.1_p08.corems,75070,2822,26.6017009213324
STL_0082_ICR.2_p08.corems,79292,2881,27.5223880597015
STL_0082_ICR.3_p08.corems,73688,2733,26.9623124771314
STL_0083_ICR.1_p08.corems,66209,2388,27.7257118927973
STL_0083_ICR.2_p08.corems,71709,2626,27.3073115003808
STL_0083_ICR.3_p08.corems,56059,1966,28.5142421159715
STL_0084_ICR.1_p08.corems,62231,2187,28.4549611339735
STL_0084_ICR.2_p08.corems,79775,2931,27.2176731490959
STL_0084_ICR.3_p08.corems,79177,2835,27.9283950617284
STL_0085_ICR.1_p08.corems,60779,2175,27.944367816092
STL_0085_ICR.2_p08.corems,57540,2007,28.6696562032885
STL_0085_ICR.3_p08.corems,48838,1742,28.0355912743972
STL_0086_ICR.1_p08.corems,56423,1964,28.7286150712831
STL_0086_ICR.2_p08.corems,76041,2775,27.4021621621622
STL_0086_ICR.3_p08.corems,79574,2950,26.9742372881356
STL_0087_ICR.1_p08.corems,65641,2313,28.3791612624297
STL_0087_ICR.2_p08.corems,74232,2683,27.667536339918
STL_0087_ICR.3_p08.corems,75080,2708,27.725258493353
STL_0088_ICR.1_p08.corems,69304,2415,28.6973084886128
STL_0088_ICR.2_p08.corems,59613,2051,29.0653339834227
STL_0088_ICR.3_p08.corems,54668,2004,27.2794411177645
STL_0089_ICR.1_p08.corems,61342,2299,26.6820356676816
STL_0089_ICR.2_p08.corems,61919,2271,27.2650814619111
STL_0089_ICR.3_p08.corems,70239,2533,27.7295696802211
STL_0090_ICR.1_p08.corems,65292,2356,27.7130730050934
STL_0090_ICR.2_p08.corems,80457,2990,26.9086956521739
STL_0090_ICR.3_p08.corems,69724,2584,26.9829721362229
STL_0091_ICR.1_p08.corems,65826,2285,28.8078774617068
STL_0091_ICR.2_p08.corems,69022,2438,28.3109105824446
STL_0091_ICR.3_p08.corems,75274,2717,27.7048214942952
STL_0092_ICR.1_p08.corems,73372,2636,27.834597875569
STL_0092_ICR.2_p08.corems,57679,2067,27.9046927914852
STL_0092_ICR.3_p08.corems,65772,2376,27.6818181818182
STL_0093_ICR.1_p08.corems,59098,2042,28.9412340842311
STL_0093_ICR.2_p08.corems,54143,1918,28.2288842544317
STL_0093_ICR.3_p08.corems,61769,2179,28.3474070674621
STL_0094_ICR.1_p08.corems,45943,1791,25.6521496370743
STL_0094_ICR.2_p08.corems,56282,2056,27.374513618677
STL_0094_ICR.3_p08.corems,50087,1737,28.8353483016695
STL_0095_ICR.1_p08.corems,25701,1077,23.8635097493036
STL_0095_ICR.2_p1.corems,24177,1030,23.4728155339806
STL_0095_ICR.3_p1.corems,30532,1281,23.8345042935207
STL_0097_ICR.1_p08.corems,28712,1349,21.2839140103781
STL_0097_ICR.2_p08.corems,13485,646,20.874613003096
STL_0097_ICR.3_p1.corems,32384,1394,23.2309899569584
STL_Field_Bucket_Blank.1_p08.corems,6230,691,9.01591895803184
STL_Field_Bucket_Blank.2_p08.corems,9396,705,13.3276595744681
STL_Field_Bucket_Blank.3_p08.corems,3488,434,8.03686635944701
STL_Field_GOFLO_Blank.1_p08.corems,15578,1044,14.9214559386973
STL_Field_GOFLO_Blank.2_p08.corems,10029,876,11.4486301369863
STL_Field_GOFLO_Blank.3_p08.corems,158,110,1.43636363636364
STL_Process_Blank.1_p08.corems,7226,789,9.15842839036755
STL_Process_Blank.10_p08.corems,1037,230,4.50869565217391
STL_Process_Blank.2_p08.corems,849,239,3.55230125523013
STL_Process_Blank.3_p08.corems,696,231,3.01298701298701
STL_Process_Blank.4_p08.corems,1048,270,3.88148148148148
STL_Process_Blank.5_p08.corems,1708,356,4.79775280898876
STL_Process_Blank.6_p08.corems,5382,553,9.73236889692586
STL_Process_Blank.7_p08.corems,7752,696,11.1379310344828
STL_Process_Blank.8_p08.corems,5042,526,9.58555133079848
STL_Process_Blank.9_p08.corems,1956,291,6.72164948453608
STL_Raw_MilliQ_Blank.1_p08.corems,86,56,1.53571428571429
STL_Raw_MilliQ_Blank.10_p08.corems,40,37,1.08108108108108
STL_Raw_MilliQ_Blank.2_p08.corems,70,49,1.42857142857143
STL_Raw_MilliQ_Blank.3_p08.corems,107,55,1.94545454545455
STL_Raw_MilliQ_Blank.4_p08.corems,188,76,2.47368421052632
STL_Raw_MilliQ_Blank.5_p08.corems,82,53,1.54716981132075
STL_Raw_MilliQ_Blank.6_p08.corems,97,63,1.53968253968254
STL_Raw_MilliQ_Blank.7_p08.corems,64,39,1.64102564102564
STL_Raw_MilliQ_Blank.8_p08.corems,126,50,2.52
STL_Raw_MilliQ_Blank.9_p08.corems,46,39,1.17948717948718
Textor2018_13_Aucilla_R_Start.corems,83952,2874,29.2108559498956
Textor2018_17_Ochlockonee_R_Start.corems,208089,7856,26.4879073319756
Textor2018_19_Ochlockonee_Leachate_Start.corems,205769,7516,27.3774614156466
Textor2018_3_Suwannee_Leachate_Start.corems,188145,6604,28.4895517867959
Textor2019_ESI_Neg_11_reassigned.corems,75686,2498,30.2986389111289
Textor2019_ESI_Neg_13_reassigned.corems,99482,3534,28.1499717034522
Textor2019_ESI_Neg_15_reassigned.corems,114827,3704,31.0008099352052
Textor2019_ESI_Neg_17_reassigned.corems,98966,3288,30.0991484184915
Textor2019_ESI_Neg_19_reassigned.corems,109264,3654,29.9025725232622
Textor2019_ESI_Neg_21_reassigned.corems,108489,3529,30.7421365826013
Textor2019_ESI_Neg_23_reassigned.corems,111331,3674,30.3023952095808
Textor2019_ESI_Neg_25_reassigned.corems,57164,1867,30.6181039100161
Textor2019_ESI_Neg_27_reassigned.corems,84272,2739,30.767433369843
Textor2019_ESI_Neg_3_reassigned.corems,87504,2901,30.1633919338159
Textor2019_ESI_Neg_5_reassigned.corems,69141,2177,31.7597611391824
Textor2019_ESI_Neg_7_reassigned.corems,88361,3049,28.980321416858
Vaughn2023_ESI.Neg_AK_10_sum100_1_calibrated.corems,4787,1656,2.89070048309179
Vaughn2023_ESI.Neg_AK_104_sum100_1_calibrated.corems,3252,1253,2.59537110933759
Vaughn2023_ESI.Neg_AK_126_sum100_1_calibrated.corems,15198,2267,6.70401411557124
Vaughn2023_ESI.Neg_AK_144_sum100_1_calibrated.corems,6269,2003,3.12980529206191
Vaughn2023_ESI.Neg_AK_2_sum100_1_calibrated.corems,4974,1817,2.73747936158503
Vaughn2023_ESI.Neg_AK_30_sum100_1_calibrated.corems,9970,1923,5.18460738429537
Vaughn2023_ESI.Neg_AK_32_sum100_1_calibrated.corems,31009,3588,8.64241917502787
Vaughn2023_ESI.Neg_AK_38_sum100_calibrated.corems,91434,4527,20.1974817760106
Vaughn2023_ESI.Neg_AK_4_sum100_1_calibrated.corems,58157,4044,14.3810583580613
Vaughn2023_ESI.Neg_AK_50_sum100_calibrated.corems,23712,3070,7.72377850162866
Vaughn2023_ESI.Neg_AK_52_sum100_calibrated.corems,148678,6215,23.922445695897
Vaughn2023_ESI.Neg_AK_62_sum100_calibrated.corems,95175,7753,12.2758932026312
Vaughn2023_ESI.Neg_AK_80_sum100_calibrated.corems,44720,4377,10.2170436371944
YDE21_001.1_p025_7T.corems,80800,2525,32
YDE21_001.2_p025_7T.corems,93957,2846,33.0137034434294
YDE21_001.3_p025_7T.corems,95280,2997,31.7917917917918
YDE21_002.1_p025_7T.corems,20051,795,25.2213836477987
YDE21_002.2_p025_7T.corems,95209,2978,31.9707857622565
YDE21_002.3_p025_7T.corems,82342,2614,31.5003825554705
YDE21_003.1_p025_7T.corems,51052,1735,29.4247838616715
YDE21_003.2_p025_7T.corems,50708,1771,28.6324110671937
YDE21_003.3_p025_7T.corems,41228,1317,31.3044798785118
YDE21_004.1_p025_7T.corems,36583,1505,24.3076411960133
YDE21_004.2_p025_7T.corems,35751,1404,25.4636752136752
YDE21_004.3_p025_7T.corems,26934,1095,24.5972602739726
YDE21_005.1_p025_7T.corems,30893,1143,27.0279965004374
YDE21_005.2_p025_7T.corems,44323,1652,26.8299031476998
YDE21_005.3_p025_7T.corems,51384,1797,28.5943238731219
YDE21_006.1_p025_7T.corems,34878,1360,25.6455882352941
YDE21_006.2_p025_7T.corems,34418,1305,26.3739463601533
YDE21_006.3_p025_7T.corems,9367,376,24.9122340425532
YDE21_007.1_p025_7T.corems,27544,1068,25.7902621722846
YDE21_007.2_p025_7T.corems,29345,1072,27.3740671641791
YDE21_007.3_p025_7T.corems,43634,1537,28.3890696161353
YDE21_008.1_p025_7T.corems,15498,619,25.0371567043619
YDE21_008.2_p025_7T.corems,13687,677,20.2171344165436
YDE21_008.3_p025_7T.corems,36213,1743,20.776247848537
YDE21_009.1_p025_7T.corems,40840,1429,28.5794261721484
YDE21_009.2_p025_7T.corems,67955,2151,31.5922826592283
YDE21_009.3_p025_7T.corems,48222,1561,30.891736066624
YDE21_01_SED.1_p025_7T.corems,55016,2019,27.2491332342744
YDE21_01_SED.2_p025_7T.corems,50619,2085,24.2776978417266
YDE21_01_SED.3_p025_7T.corems,32668,1593,20.5072190834903
YDE21_010.1_p025_7T.corems,24216,951,25.4637223974763
YDE21_010.2_p025_7T.corems,33670,1258,26.7647058823529
YDE21_010.3_p025_7T.corems,22236,826,26.9200968523002
YDE21_011.1_p025_7T.corems,34517,1327,26.0113036925396
YDE21_011.2_p025_7T.corems,33852,1311,25.8215102974828
YDE21_011.3_p025_7T.corems,33647,1251,26.8960831334932
YDE21_012.1_p025_7T.corems,37852,1405,26.9409252669039
YDE21_012.2_p025_7T.corems,30768,1149,26.7780678851175
YDE21_012.3_p025_7T.corems,19126,699,27.3619456366237
YDE21_013.1_p025_7T.corems,43640,1642,26.5773447015834
YDE21_013.2_p025_7T.corems,34584,1397,24.755905511811
YDE21_013.3_p025_7T.corems,26451,977,27.0736949846469
YDE21_014.1_p025_7T.corems,3838,356,10.7808988764045
YDE21_014.2_p025_7T.corems,763,502,1.5199203187251
YDE21_014.3_p025_7T.corems,1250,188,6.64893617021277
YDE21_015.1_p025_7T.corems,13022,695,18.736690647482
YDE21_015.2_p025_7T.corems,15595,709,21.9957686882934
YDE21_015.3_p025_7T.corems,17709,875,20.2388571428571
YDE21_016.1_p025_7T.corems,27833,1070,26.0121495327103
YDE21_016.2_p025_7T.corems,3613,264,13.6856060606061
YDE21_016.3_p025_7T.corems,39267,1362,28.8303964757709
YDE21_017.1_p025_7T.corems,25623,891,28.7575757575758
YDE21_017.2_p025_7T.corems,25620,944,27.1398305084746
YDE21_017.3_p025_7T.corems,57283,1912,29.9597280334728
YDE21_018.1_p025_7T.corems,46700,1682,27.7645659928656
YDE21_018.2_p025_7T.corems,43886,1563,28.0780550223928
YDE21_018.3_p025_7T.corems,45298,1605,28.2230529595016
YDE21_019.1_p025_7T.corems,27534,1100,25.0309090909091
YDE21_019.2_p025_7T.corems,31058,1149,27.0304612706701
YDE21_02_SED.1_p025_7T.corems,34910,1426,24.4810659186536
YDE21_02_SED.2_p025_7T.corems,52058,2105,24.7306413301663
YDE21_02_SED.3_p025_7T.corems,49831,1996,24.9654308617234
YDE21_020.1_p025_7T.corems,30307,1167,25.9700085689803
YDE21_020.2_p025_7T.corems,23840,875,27.2457142857143
YDE21_020.3_p025_7T.corems,40752,1477,27.5910629654705
YDE21_021.1_p025_7T.corems,32757,1261,25.9770023790642
YDE21_021.2_p025_7T.corems,46759,1586,29.4823455233291
YDE21_021.3_p025_7T.corems,21401,749,28.5727636849132
YDE21_022.1_p025_7T.corems,20254,799,25.3491864831039
YDE21_022.2_p025_7T.corems,23408,902,25.9512195121951
YDE21_022.3_p025_7T.corems,24985,951,26.2723449001052
YDE21_023.1_p025_7T.corems,43871,1616,27.147896039604
YDE21_023.2_p025_7T.corems,26160,956,27.3640167364017
YDE21_023.3_p025_7T.corems,38321,1332,28.7695195195195
YDE21_024.1_p025_7T.corems,24858,879,28.2798634812287
YDE21_024.2_p025_7T.corems,43220,1684,25.6650831353919
YDE21_024.3_p025_7T.corems,46950,1580,29.7151898734177
YDE21_025.1_p025_7T.corems,43365,1563,27.7447216890595
YDE21_025.2_p025_7T.corems,31384,1123,27.946571682992
YDE21_025.3_p025_7T.corems,40931,1513,27.0528750826173
YDE21_026.1_p025_7T.corems,1177,612,1.92320261437909
YDE21_026.2_p025_7T.corems,1341,254,5.27952755905512
YDE21_026.3_p025_7T.corems,24503,857,28.5915985997666
YDE21_027.1_p025_7T.corems,37035,1476,25.0914634146341
YDE21_027.2_p025_7T.corems,28802,1083,26.5946445060018
YDE21_027.3_p025_7T.corems,46572,1613,28.8729076255425
YDE21_028.1_p025_7T.corems,21239,868,24.4688940092166
YDE21_028.2_p025_7T.corems,47917,1657,28.917923958962
YDE21_028.3_p025_7T.corems,44384,1491,29.7679409792086
YDE21_029.1_p025_7T.corems,48089,1713,28.0729713952131
YDE21_029.2_p025_7T.corems,15641,585,26.7367521367521
YDE21_029.3_p025_7T.corems,30824,1102,27.9709618874773
YDE21_030.1_p025_7T.corems,27261,1023,26.6480938416422
YDE21_030.2_p025_7T.corems,39527,1384,28.5599710982659
YDE21_030.3_p025_7T.corems,23602,857,27.5402567094516
YDE21_031.1_p025_7T.corems,63312,2053,30.8387725280078
YDE21_031.2_p025_7T.corems,53105,1669,31.8184541641702
YDE21_031.3_p025_7T.corems,64374,2046,31.4633431085044
YDE21_032.1_p025_7T.corems,69791,2266,30.7992056487202
YDE21_032.3_p025_7T.corems,60661,2058,29.4757045675413
YDE21_033.1_p025_7T.corems,54164,1834,29.5332606324973
YDE21_033.2_p025_7T.corems,56645,1912,29.6260460251046
YDE21_033.3_p025_7T.corems,349,240,1.45416666666667
YDE21_034.1_p025_7T.corems,60291,1974,30.5425531914894
YDE21_034.2_p025_7T.corems,126,201,0.626865671641791
YDE21_034.3_p025_7T.corems,54729,1771,30.9028797289667
YDE21_035.1_p025_7T.corems,87685,2781,31.5300251708019
YDE21_035.2_p025_7T.corems,56740,1749,32.4413950829045
YDE21_035.3_p025_7T.corems,88905,2812,31.6162873399715
YDE21_036.1_p025_7T.corems,49458,1671,29.5978456014363
YDE21_036.2_p025_7T.corems,39344,1335,29.4711610486891
YDE21_036.3_p025_7T.corems,45411,1561,29.0909673286355
YDE21_037.1_p025_7T.corems,56955,1981,28.7506309944472
YDE21_037.2_p025_7T.corems,57042,1887,30.2289348171701
YDE21_037.3_p025_7T.corems,41035,1436,28.5759052924791
YDE21_038.1_p025_7T.corems,49921,1588,31.4363979848866
YDE21_038.2_p025_7T.corems,44938,1510,29.7602649006622
YDE21_038.3_p025_7T.corems,55922,1835,30.475204359673
YDE21_039.1_p025_7T.corems,45396,1519,29.8854509545754
YDE21_039.2_p025_7T.corems,43793,1463,29.9336978810663
YDE21_039.3_p025_7T.corems,40379,1334,30.2691154422789
YDE21_040.1_p025_7T.corems,62623,2076,30.1652215799615
YDE21_040.2_p025_7T.corems,53607,1742,30.7732491389208
YDE21_040.3_p025_7T.corems,15106,638,23.6771159874608
YDE21_041.1_p025_7T.corems,65257,2104,31.0156844106464
YDE21_041.2_p025_7T.corems,15764,656,24.030487804878
YDE21_041.3_p025_7T.corems,48307,1570,30.7687898089172
YDE21_042.1_p025_7T.corems,43368,1469,29.5221238938053
YDE21_042.2_p025_7T.corems,49240,1624,30.320197044335
YDE21_042.3_p025_7T.corems,46721,1561,29.9301729660474
YDE21_043.1_p025_7T.corems,53063,1753,30.2698231602966
YDE21_043.2_p025_7T.corems,26214,994,26.3722334004024
YDE21_043.3_p025_7T.corems,38370,1342,28.591654247392
YDE21_044.1_p025_7T.corems,92,226,0.407079646017699
YDE21_044.2_p025_7T.corems,29732,1062,27.9962335216572
YDE21_044.3_p025_7T.corems,31253,1133,27.5842894969109
YDE21_045.1_p025_7T.corems,35792,1399,25.5839885632595
YDE21_045.2_p025_7T.corems,19485,693,28.1168831168831
YDE21_045.3_p025_7T.corems,21002,789,26.6185044359949
YDE21_046.1_p025_7T.corems,47702,1673,28.5128511655708
YDE21_046.2_p025_7T.corems,47958,1628,29.458230958231
YDE21_046.3_p025_7T.corems,58813,1851,31.7736358725014
YDE21_047.1_p025_7T.corems,43686,1545,28.2757281553398
YDE21_047.2_p025_7T.corems,36753,1389,26.4600431965443
YDE21_047.3_p025_7T.corems,18844,655,28.769465648855
